iter	Passed	Remaining
1163	75780	60936
1164	75837	60865
1165	75895	60794
1166	75956	60726
1167	76020	60660
1168	76096	60603
1169	76172	60547
1170	76249	60491
1171	76327	60436
1172	76406	60382
1173	76479	60323
1174	76536	60251
1175	76594	60181
1176	76650	60109
1177	76713	60042
1178	76790	59986
1179	76876	59937
1180	76954	59882
1181	77032	59827
1182	77106	59769
1183	77167	59700
1184	77225	59629
1185	77287	59562
1186	77343	59490
1187	77400	59418
1188	77471	59357
1189	77544	59298
1190	77614	59237
1191	77687	59178
1192	77749	59110
1193	77804	59037
1194	77865	58969
1195	77935	58907
1196	78014	58853
1197	78112	58812
1198	78193	58759
1199	78272	58704
1200	78355	58652
1201	78426	58591
1202	78486	58522
1203	78549	58455
1204	78607	58385
1205	78663	58312
1206	78719	58240
1207	78777	58170
1208	78829	58094
1209	78884	58022
1210	78936	57947
1211	78991	57874
1212	79046	57802
1213	79105	57732
1214	79171	57667
1215	79229	57597
1216	79286	57526
1217	79345	57457
1218	79401	57385
1219	79457	57313
1220	79512	57241
1221	79568	57169
1222	79624	57097
1223	79681	57026
1224	79735	56953
1225	79788	56880
1226	79845	56809
1227	79899	56736
1228	79954	56664
1229	80012	56594
1230	80064	56520
1231	80119	56448
1232	80175	56376
1233	80232	56305
1234	80287	56233
1235	80341	56161
1236	80395	56088
1237	80451	56017
1238	80504	55943
1239	80558	55870
1240	80616	55801
1241	80670	55728
1242	80724	55656
1243	80779	55584
1244	80833	55512
1245	80889	55441
1246	80942	55367
1247	80997	55296
1248	81064	55232
1249	81121	55162
1250	81171	55087
1251	81226	55016
1252	81282	54945
1253	81338	54874
1254	81394	54803
1255	81451	54733
1256	81506	54661
1257	81557	54588
1258	81612	54516
1259	81669	54446
1260	81725	54375
1261	81779	54303
1262	81831	54230
1263	81885	54158
1264	81936	54084
1265	81989	54012
1266	82045	53941
1267	82100	53870
1268	82156	53799
1269	82207	53726
1270	82260	53653
1271	82315	53582
1272	82368	53510
1273	82421	53438
1274	82477	53367
1275	82529	53294
1276	82585	53224
1277	82641	53154
1278	82695	53083
1279	82753	53013
1280	82807	52942
1281	82862	52871
1282	82919	52802
1283	82974	52731
1284	83037	52665
1285	83092	52594
1286	83147	52524
1287	83204	52454
1288	83262	52386
1289	83321	52318
1290	83381	52250
1291	83443	52184
1292	83498	52113
1293	83552	52042
1294	83608	51972
1295	83663	51902
1296	83719	51832
1297	83777	51763
1298	83835	51695
1299	83898	51630
1300	83952	51559
1301	84010	51490
1302	84063	51418
1303	84119	51349
1304	84177	51280
1305	84236	51212
1306	84301	51148
1307	84357	51079
1308	84409	51006
1309	84463	50936
1310	84518	50865
1311	84572	50795
1312	84625	50723
1313	84678	50652
1314	84734	50582
1315	84790	50513
1316	84851	50446
1317	84921	50385
1318	85012	50337
1319	85081	50275
1320	85148	50212
1321	85213	50148
1322	85269	50079
1323	85343	50019
1324	85413	49958
1325	85483	49897
1326	85552	49836
1327	85616	49770
1328	85685	49708
1329	85760	49651
1330	85839	49594
1331	85921	49540
1332	85984	49474
1333	86062	49418
1334	86142	49362
1335	86249	49322
1336	86314	49258
1337	86383	49196
1338	86455	49135
1339	86529	49076
1340	86605	49018
1341	86698	48969
1342	86782	48916
1343	86859	48858
1344	86927	48795
1345	87005	48738
1346	87089	48685
1347	87167	48627
1348	87249	48572
1349	87334	48519
1350	87445	48479
1351	87564	48445
1352	87678	48407
1353	87820	48385
1354	87900	48329
1355	87960	48261
1356	88065	48218
1357	88153	48166
1358	88235	48110
1359	88294	48042
1360	88378	47988
1361	88490	47948
1362	88583	47898
1363	88692	47857
1364	88791	47811
1365	88898	47768
1366	88982	47713
1367	89060	47655
1368	89142	47599
1369	89220	47540
1370	89296	47481
1371	89357	47414
1372	89439	47357
1373	89517	47299
1374	89593	47240
1375	89678	47185
1376	89753	47125
1377	89825	47064
1378	89911	47009
1379	89984	46948
1380	90061	46889
1381	90135	46828
1382	90206	46766
1383	90297	46714
1384	90392	46664
1385	90487	46614
1386	90571	46559
1387	90658	46504
1388	90737	46446
1389	90814	46387
1390	90890	46327
1391	90952	46260
1392	91013	46192
1393	91088	46132
1394	91166	46073
1395	91233	46008
1396	91299	45943
1397	91370	45881
1398	91447	45821
1399	91523	45761
1400	91594	45699
1401	91653	45630
1402	91713	45562
1403	91778	45497
1404	91853	45436
1405	91921	45372
1406	91988	45307
1407	92053	45242
1408	92123	45179
1409	92179	45109
1410	92241	45042
1411	92308	44977
1412	92394	44921
1413	92478	44865
1414	92544	44800
1415	92613	44737
1416	92680	44672
1417	92747	44607
1418	92812	44542
1419	92877	44476
1420	92944	44412
1421	93008	44345
1422	93073	44280
1423	93136	44213
1424	93201	44148
1425	93276	44087
1426	93354	44027
1427	93460	43981
1428	93533	43919
1429	93629	43868
1430	93705	43807
1431	93779	43746
1432	93852	43684
1433	93926	43622
1434	94004	43562
1435	94074	43499
1436	94156	43441
1437	94231	43380
1438	94304	43318
1439	94372	43253
1440	94447	43193
1441	94519	43130
1442	94596	43069
1443	94666	43006
1444	94733	42941
1445	94797	42875
1446	94871	42813
1447	94941	42750
1448	95015	42688
1449	95084	42624
1450	95148	42557
1451	95220	42495
1452	95284	42428
1453	95355	42365
1454	95423	42301
1455	95497	42239
1456	95567	42175
1457	95631	42109
1458	95694	42042
1459	95753	41974
1460	95816	41907
1461	95888	41844
1462	95964	41783
1463	96030	41718
1464	96106	41657
1465	96173	41592
1466	96242	41527
1467	96316	41466
1468	96400	41408
1469	96472	41345
1470	96545	41282
1471	96607	41215
1472	96670	41148
